t,f_total,f_near,f_far,N_direct,N_detour,F_clean,F_linger,F_rollback,F_no_return
1232,6.920940225581468e-05,1.054023485717341e-14,6.920940224527445e-05,4.190281417567782e-18,1.0536044575756391e-14,4.7577533663254973e-05,9.215728703264709e-06,1.2416139878758435e-05,5.679326236651968e-05
1233,6.884970497150494e-05,1.0332983690045676e-14,6.884970496117195e-05,4.076327349556805e-18,1.032890736269666e-14,4.7330284655549575e-05,9.167881956188534e-06,1.2351538349437484e-05,5.6498166611738105e-05
1234,6.849188349645463e-05,1.0129828626915123e-14,6.849188348632481e-05,3.965472245101409e-18,1.012586315467055e-14,4.7084325056608026e-05,9.120284346915289e-06,1.2287274082805103e-05,5.6204609403523316e-05
1235,6.81359280064799e-05,9.930688433153608e-15,6.813592799654922e-05,3.857631828360654e-18,9.926830801325769e-15,4.683964810999699e-05,9.072934573489971e-06,1.2223345313065878e-05,5.591258268348696e-05
1236,6.778182872902801e-05,9.7354834902528e-15,6.778182871929252e-05,3.752724115362168e-18,9.731730766137949e-15,4.659624709487463e-05,9.025831340779661e-06,1.215975028364182e-05,5.562207843565429e-05
1237,6.742957594290708e-05,9.544135763569329e-15,6.742957593336294e-05,3.6506693516751336e-18,9.540485094218157e-15,4.63541153258029e-05,8.978973360437967e-06,1.2096487247125638e-05,5.533308868624087e-05
1238,6.707915997801749e-05,9.356568770715858e-15,6.707915996866092e-05,3.55138995177825e-18,9.353017380764572e-15,4.611324615256066e-05,8.93235935086965e-06,1.2033554465234175e-05,5.504560550343031e-05
1239,6.673057121508453e-05,9.172707550585108e-15,6.673057120591183e-05,3.454810440076576e-18,9.169252740145511e-15,4.587363295995787e-05,8.885988037195429e-06,1.1970950208762076e-05,5.47596209971533e-05
1240,6.638380008539224e-05,8.992478632994058e-15,6.638380007639976e-05,3.360857393522403e-18,8.989117775601008e-15,4.56352691676507e-05,8.839858151216955e-06,1.1908672757535656e-05,5.447512731886766e-05
1241,6.603883707051884e-05,8.815810008935962e-15,6.603883706170303e-05,3.269459385796555e-18,8.812540549550628e-15,4.539814822995759e-05,8.79396843138197e-06,1.1846720400366966e-05,5.4192116661339564e-05
1242,6.569567270207322e-05,8.642631101427846e-15,6.569567269343058e-05,3.1805469330076616e-18,8.639450554495293e-15,4.5162263635676365e-05,8.748317622749635e-06,1.1785091435008077e-05,5.3910581258426e-05
1243,6.535429756143307e-05,8.47287273694164e-15,6.535429755296019e-05,3.0940524408681314e-18,8.469778684501216e-15,4.4927608907902085e-05,8.702904476956021e-06,1.1723784168105564e-05,5.36305133848581e-05
1244,6.501470227948408e-05,8.306467117407125e-15,6.501470227117761e-05,3.0099101533066735e-18,8.303457207254255e-15,4.469417760384607e-05,8.657727752179803e-06,1.1662796915155195e-05,5.335190535602587e-05
1245,6.467687753636057e-05,8.143347792775275e-15,6.467687752821722e-05,2.9280561024782834e-18,8.140419736673223e-15,4.446196331465574e-05,8.6127862131081e-06,1.160212800045682e-05,5.307474952776384e-05
1246,6.434081406118742e-05,7.983449634130695e-15,6.434081405320397e-05,2.848428060133707e-18,7.980601206070982e-15,4.42309596652354e-05,8.568078630902496e-06,1.1541775757069476e-05,5.27990382961379e-05
