case,window,t_lo,t_hi,region,x,y,occupancy,rank_in_region
sym_shared,peak1,369,421,bottom_full,51,1,2.48074607923635e-05,21
sym_shared,peak1,369,421,bottom_full,6,4,2.4771818327172295e-05,22
sym_shared,peak1,369,421,bottom_full,51,0,2.2141219577858754e-05,23
sym_shared,peak1,369,421,bottom_full,5,2,2.181007969950912e-05,24
sym_shared,peak1,369,421,bottom_full,50,4,2.071460025644395e-05,25
sym_shared,peak1,369,421,bottom_full,6,3,1.8335787096079878e-05,26
sym_shared,peak1,369,421,bottom_full,50,3,1.8292142326272347e-05,27
sym_shared,peak1,369,421,bottom_full,50,2,1.560732174964363e-05,28
sym_shared,peak1,369,421,bottom_full,5,1,1.4183148188739201e-05,29
sym_shared,peak1,369,421,bottom_full,50,1,1.3446334995180028e-05,30
sym_shared,peak1,369,421,bottom_full,6,2,1.2460481432520622e-05,31
sym_shared,peak1,369,421,bottom_full,50,0,1.2276598372596119e-05,32
sym_shared,peak1,369,421,bottom_full,7,4,1.1870118458957172e-05,33
sym_shared,peak1,369,421,bottom_full,5,0,1.1026645155554836e-05,34
sym_shared,peak1,369,421,bottom_full,49,4,1.059897011416322e-05,35
sym_shared,peak1,369,421,bottom_full,7,3,9.337533604917013e-06,36
sym_shared,peak1,369,421,bottom_full,49,3,9.321739099962074e-06,37
sym_shared,peak1,369,421,bottom_full,6,1,8.770958964700423e-06,38
sym_shared,peak1,369,421,bottom_full,49,2,8.072421898087999e-06,39
sym_shared,peak1,369,421,bottom_full,49,1,7.099434520294018e-06,40
sym_shared,peak1,369,421,bottom_full,6,0,7.091517675223913e-06,41
sym_shared,peak1,369,421,bottom_full,7,2,6.861992831158716e-06,42
sym_shared,peak1,369,421,bottom_full,49,0,6.574854155474218e-06,43
sym_shared,peak1,369,421,bottom_full,8,4,6.294382112147109e-06,44
sym_shared,peak1,369,421,bottom_full,48,4,5.607368839295141e-06,45
sym_shared,peak1,369,421,bottom_full,7,1,5.1480276872046565e-06,46
sym_shared,peak1,369,421,bottom_full,8,3,4.9825669081600005e-06,47
sym_shared,peak1,369,421,bottom_full,48,3,4.832373251530743e-06,48
sym_shared,peak1,369,421,bottom_full,7,0,4.31555453443946e-06,49
sym_shared,peak1,369,421,bottom_full,48,2,4.175404103310444e-06,50
sym_shared,peak1,369,421,bottom_full,8,2,3.7980290537297394e-06,51
sym_shared,peak1,369,421,bottom_full,48,1,3.6969214740660435e-06,52
sym_shared,peak1,369,421,bottom_full,9,4,3.6589492032209173e-06,53
sym_shared,peak1,369,421,bottom_full,48,0,3.4458073726031097e-06,54
sym_shared,peak1,369,421,bottom_full,47,4,3.0984024601246615e-06,55
sym_shared,peak1,369,421,bottom_full,8,1,2.9646818535803725e-06,56
sym_shared,peak1,369,421,bottom_full,9,3,2.8300168342179495e-06,57
sym_shared,peak1,369,421,bottom_full,47,3,2.5779429481952803e-06,58
sym_shared,peak1,369,421,bottom_full,8,0,2.5491315767634707e-06,59
sym_shared,peak1,369,421,bottom_full,10,4,2.300376767670724e-06,60
sym_shared,peak1,369,421,bottom_full,47,2,2.1872555825186944e-06,61
sym_shared,peak1,369,421,bottom_full,9,2,2.1676747876453325e-06,62
