t,f_total,survival_before,survival_after
1018,9.5522159738847672e-15,3.3765289332109487e-13,3.2810067734720998e-13
1019,9.2819833420412442e-15,3.2810067734720998e-13,3.1881869400516876e-13
1020,9.0193956038551465e-15,3.1881869400516876e-13,3.0979929840131368e-13
1021,8.7642364849312007e-15,3.0979929840131368e-13,3.0103506191638245e-13
1022,8.5162958292867947e-15,3.0103506191638245e-13,2.9251876608709568e-13
1023,8.2753694262617770e-15,2.9251876608709568e-13,2.8424339666083393e-13
1024,8.0412588423250258e-15,2.8424339666083393e-13,2.7620213781850886e-13
1025,7.8137712576391915e-15,2.7620213781850886e-13,2.6838836656086974e-13
1026,7.5927193072490497e-15,2.6838836656086974e-13,2.6079564725362064e-13
1027,7.3779209267626218e-15,2.6079564725362064e-13,2.5341772632685803e-13
1028,7.1691992023980062e-15,2.5341772632685803e-13,2.4624852712446007e-13
1029,6.9663822252723738e-15,2.4624852712446007e-13,2.3928214489918772e-13
1030,6.7693029498131449e-15,2.3928214489918772e-13,2.3251284194937453e-13
1031,6.5777990561747171e-15,2.3251284194937453e-13,2.2593504289319986e-13
1032,6.3917128165474297e-15,2.2593504289319986e-13,2.1954333007665238e-13
1033,6.2108909652486545e-15,2.1954333007665238e-13,2.1333243911140378e-13
1034,6.0351845724890151e-15,2.1333243911140378e-13,2.0729725453891477e-13
1035,5.8644489217097695e-15,2.0729725453891477e-13,2.0143280561720500e-13
1036,5.6985433903903148e-15,2.0143280561720500e-13,1.9573426222681472e-13
1037,5.5373313342276643e-15,1.9573426222681472e-13,1.9019693089258702e-13
1038,5.3806799745924836e-15,1.9019693089258702e-13,1.8481625091799458e-13
1039,5.2284602891690065e-15,1.8481625091799458e-13,1.7958779062882554e-13
1040,5.0805469056887456e-15,1.7958779062882554e-13,1.7450724372313683e-13
1041,4.9368179986704964e-15,1.7450724372313683e-13,1.6957042572446632e-13
1042,4.7971551890815459e-15,1.6957042572446632e-13,1.6477327053538479e-13
1043,4.6614434468375005e-15,1.6477327053538479e-13,1.6011182708854732e-13
1044,4.5295709960603708e-15,1.6011182708854732e-13,1.5558225609248694e-13
1045,4.4014292230169295e-15,1.5558225609248694e-13,1.5118082686947000e-13
1046,4.2769125866614876e-15,1.5118082686947000e-13,1.4690391428280853e-13
1047,4.1559185317094215e-15,1.4690391428280853e-13,1.4274799575109912e-13
1048,4.0383474041698536e-15,1.4274799575109912e-13,1.3870964834692925e-13
1049,3.9241023692679209e-15,1.3870964834692925e-13,1.3478554597766133e-13
