scan_name,case_id,corridor_halfwidth,bx,delta_core,delta_open,kappa_c2o,kappa_o2c,window,lo,hi,observable,exit_prob,mean_event_time,mean_hit_time,event_time_ratio,early_mass,late_mass,no_exit_mass
width_bx,width_h2_bx_m0p16,2,-0.16,1.0,0.55,0.002,0.002,early,10,60,tau_out,0.0003635648714377909,54.18758576560521,59.467092048853715,0.911219699814626,1.3299961515971023e-07,0.0003634318718226312,0.9996364351285623
width_bx,width_h2_bx_m0p16,2,-0.16,1.0,0.55,0.002,0.002,early,10,60,tau_mem,4.927495358459189e-07,39.87634989115245,59.467092048853715,0.6705616252160611,1.3299961515971023e-07,3.5974992068620866e-07,0.9999995072504642
width_bx,width_h2_bx_m0p16,2,-0.16,1.0,0.55,0.002,0.002,middle,120,200,tau_out,0.16679138381975173,169.9887167811019,186.0821766300912,0.9135142325802588,0.0027736488693679145,0.1640177349503838,0.8332086161802483
width_bx,width_h2_bx_m0p16,2,-0.16,1.0,0.55,0.002,0.002,middle,120,200,tau_mem,0.0001670066041456834,129.50350197296598,186.0821766300912,0.6959479103170813,4.017049780988892e-05,0.0001268361063357945,0.9998329933958543
width_bx,width_h2_bx_m0p16,2,-0.16,1.0,0.55,0.002,0.002,late,260,360,tau_out,0.3148026748351551,279.45418862690104,323.5380214737989,0.8637445062991834,0.02382648375007467,0.29097619108508044,0.6851973251648449
width_bx,width_h2_bx_m0p16,2,-0.16,1.0,0.55,0.002,0.002,late,260,360,tau_mem,0.0005475820683746698,163.6126271176924,323.5380214737989,0.5056982989893887,0.00026319462963843277,0.000284387438736237,0.9994524179316253
width_bx,width_h2_bx_m0p12,2,-0.12,1.0,0.55,0.002,0.002,peak1,503,555,tau_out,0.5436069511718777,378.0317866464501,529.0043695857657,0.7146099510339886,0.12696948186993262,0.4166374693019451,0.45639304882812226
width_bx,width_h2_bx_m0p12,2,-0.12,1.0,0.55,0.002,0.002,peak1,503,555,tau_mem,0.0036323110788948247,146.11955279080883,529.0043695857657,0.27621615470818706,0.002820670305767721,0.0008116407731271038,0.9963676889211052
width_bx,width_h2_bx_m0p12,2,-0.12,1.0,0.55,0.002,0.002,valley,1291,1343,tau_out,0.9675550594510739,223.81304947516927,1317.000059679027,0.1699415636546865,0.9066043711825965,0.06095068826847738,0.032444940548926104
width_bx,width_h2_bx_m0p12,2,-0.12,1.0,0.55,0.002,0.002,valley,1291,1343,tau_mem,0.12824061501437992,301.54047747628584,1317.000059679027,0.22896010919678764,0.12224597710110399,0.005994637913275924,0.8717593849856201
width_bx,width_h2_bx_m0p12,2,-0.12,1.0,0.55,0.002,0.002,peak2,1855,1907,tau_out,0.9993060929113496,354.59943294004944,1880.9999549940856,0.18851644945476057,0.9863703661096415,0.01293572680170818,0.0006939070886503584
width_bx,width_h2_bx_m0p12,2,-0.12,1.0,0.55,0.002,0.002,peak2,1855,1907,tau_mem,0.12003968163062143,532.2086754256919,1880.9999549940856,0.2829392281550402,0.10214234334908544,0.017897338281535988,0.8799603183693786
width_bx,width_h2_bx_m0p08,2,-0.08,1.0,0.55,0.002,0.002,peak1,369,421,tau_out,0.5399934871373369,310.0938467100686,395.00492247666864,0.7850379300738577,0.0678843152041596,0.47210917193317725,0.46000651286266314
width_bx,width_h2_bx_m0p08,2,-0.08,1.0,0.55,0.002,0.002,peak1,369,421,tau_mem,0.002321839092689482,161.20194827845694,395.00492247666864,0.4081011124310191,0.0013338600791760634,0.0009879790135134186,0.9976781609073105
width_bx,width_h2_bx_m0p08,2,-0.08,1.0,0.55,0.002,0.002,valley,1054,1106,tau_out,0.9950934277289265,158.9335207723763,1079.997523335348,0.14716100485262518,0.9576331400245806,0.03746028770434595,0.004906572271073495
