t,f_total,f_shortcut_no,f_shortcut_yes,survival
607,1.05390981395925e-11,9.044902101421959e-12,1.4941960381705415e-12,0.8185893835765359
608,1.0539098139456815e-11,9.044902101241557e-12,1.4941960382152588e-12,0.8185893835659971
609,1.0539098139321129e-11,9.044902101061153e-12,1.4941960382599762e-12,0.8185893835554582
610,1.0539098139185445e-11,9.044902100880751e-12,1.4941960383046936e-12,0.8185893835449193
611,1.0539098139049757e-11,9.044902100700345e-12,1.4941960383494109e-12,0.8185893835343802
612,1.053909813891407e-11,9.044902100519942e-12,1.4941960383941279e-12,0.8185893835238413
613,1.0539098138778387e-11,9.044902100339541e-12,1.4941960384388453e-12,0.8185893835133023
614,1.0539098138642698e-11,9.044902100159137e-12,1.4941960384835623e-12,0.8185893835027634
615,1.0539098138507012e-11,9.044902099978732e-12,1.4941960385282798e-12,0.8185893834922244
616,1.0539098138371326e-11,9.044902099798329e-12,1.4941960385729974e-12,0.8185893834816854
617,1.0539098138235641e-11,9.044902099617926e-12,1.4941960386177144e-12,0.8185893834711465
618,1.0539098138099953e-11,9.044902099437522e-12,1.494196038662432e-12,0.8185893834606076
619,1.0539098137964266e-11,9.044902099257117e-12,1.4941960387071491e-12,0.8185893834500685
620,1.0539098137828583e-11,9.044902099076716e-12,1.4941960387518665e-12,0.8185893834395296
621,1.0539098137692893e-11,9.04490209889631e-12,1.4941960387965838e-12,0.8185893834289908
622,1.053909813755721e-11,9.044902098715908e-12,1.4941960388413012e-12,0.8185893834184518
623,1.0539098137421526e-11,9.044902098535507e-12,1.4941960388860184e-12,0.8185893834079129
624,1.0539098137285836e-11,9.044902098355101e-12,1.4941960389307355e-12,0.8185893833973737
625,1.0539098137150153e-11,9.0449020981747e-12,1.494196038975453e-12,0.8185893833868348
626,1.0539098137014466e-11,9.044902097994295e-12,1.4941960390201703e-12,0.8185893833762957
627,1.0539098136878778e-11,9.04490209781389e-12,1.4941960390648878e-12,0.818589383365757
628,1.0539098136743094e-11,9.044902097633489e-12,1.4941960391096052e-12,0.8185893833552179
629,1.0539098136607409e-11,9.044902097453086e-12,1.4941960391543224e-12,0.818589383344679
630,1.0539098136471717e-11,9.044902097272678e-12,1.4941960391990394e-12,0.81858938333414
631,1.0539098136336036e-11,9.044902097092279e-12,1.494196039243757e-12,0.8185893833236013
632,1.053909813620035e-11,9.044902096911876e-12,1.4941960392884741e-12,0.8185893833130621
633,1.0539098136064662e-11,9.044902096731471e-12,1.4941960393331915e-12,0.8185893833025232
634,1.0539098135928977e-11,9.044902096551068e-12,1.494196039377909e-12,0.818589383291984
635,1.053909813579329e-11,9.044902096370664e-12,1.4941960394226262e-12,0.8185893832814453
636,1.0539098135657602e-11,9.04490209619026e-12,1.4941960394673434e-12,0.818589383270906
637,1.0539098135521919e-11,9.044902096009858e-12,1.4941960395120609e-12,0.8185893832603673
638,1.0539098135386234e-11,9.044902095829455e-12,1.494196039556778e-12,0.8185893832498282
639,1.0539098135250544e-11,9.044902095649049e-12,1.4941960396014955e-12,0.8185893832392893
640,1.053909813511486e-11,9.044902095468648e-12,1.4941960396462128e-12,0.8185893832287504
641,1.0539098134979173e-11,9.044902095288243e-12,1.4941960396909298e-12,0.8185893832182115
642,1.0539098134843487e-11,9.04490209510784e-12,1.4941960397356472e-12,0.8185893832076724
643,1.0539098134707802e-11,9.044902094927437e-12,1.4941960397803645e-12,0.8185893831971333
644,1.0539098134572117e-11,9.044902094747034e-12,1.4941960398250819e-12,0.8185893831865946
645,1.0539098134436428e-11,9.04490209456663e-12,1.4941960398697991e-12,0.8185893831760553
646,1.0539098134300743e-11,9.044902094386227e-12,1.4941960399145165e-12,0.8185893831655165
647,1.0539098134165058e-11,9.044902094205824e-12,1.4941960399592338e-12,0.8185893831549774
648,1.053909813402937e-11,9.04490209402542e-12,1.4941960400039512e-12,0.8185893831444386
649,1.0539098133893685e-11,9.044902093845016e-12,1.4941960400486684e-12,0.8185893831338996
650,1.0539098133758e-11,9.044902093664614e-12,1.4941960400933859e-12,0.8185893831233607
651,1.0539098133622311e-11,9.044902093484209e-12,1.494196040138103e-12,0.8185893831128216
652,1.0539098133486626e-11,9.044902093303806e-12,1.4941960401828203e-12,0.8185893831022828
653,1.0539098133350941e-11,9.044902093123403e-12,1.4941960402275376e-12,0.8185893830917438
654,1.0539098133215254e-11,9.044902092942999e-12,1.4941960402722552e-12,0.8185893830812047
655,1.0539098133079568e-11,9.044902092762596e-12,1.4941960403169722e-12,0.8185893830706656
656,1.0539098132943883e-11,9.044902092582193e-12,1.4941960403616895e-12,0.8185893830601266
657,1.0539098132808196e-11,9.044902092401788e-12,1.4941960404064069e-12,0.8185893830495877
658,1.053909813267251e-11,9.044902092221385e-12,1.4941960404511241e-12,0.8185893830390487
659,1.0539098132536824e-11,9.044902092040982e-12,1.4941960404958416e-12,0.8185893830285097
660,1.0539098132401136e-11,9.044902091860578e-12,1.4941960405405586e-12,0.8185893830179707
661,1.053909813226545e-11,9.044902091680175e-12,1.4941960405852762e-12,0.8185893830074318
662,1.0539098132129766e-11,9.044902091499772e-12,1.4941960406299932e-12,0.8185893829968928
663,1.0539098131994079e-11,9.044902091319369e-12,1.4941960406747107e-12,0.8185893829863538
664,1.0539098131858392e-11,9.044902091138965e-12,1.494196040719428e-12,0.8185893829758146
